Year;Value
1960;591.841.164.889.977
1961;495.570.501.829.631
1962;466.851.785.043.274
1963;500.973.032.710.232
1964;590.622.548.901.871
1965;697.091.531.153.147
1966;758.794.347.761.831
1967;720.570.285.596.741
1968;699.934.978.923.132
1969;787.188.204.779.257
1970;915.062.113.063.745
1971;985.620.238.441.813
1972;112.159.813.640.376
1973;136.769.878.359.668
1974;142.254.742.077.706
1975;161.162.492.226.686
1976;151.627.687.364.405
1977;172.349.014.326.931
1978;148.382.111.520.192
1979;176.856.525.405.729
1980;189.649.992.463.987
1981;194.369.049.090.197
1982;203.549.627.211.606
1983;228.950.200.773.115
1984;258.082.147.252.256
1985;307.479.585.852.339
1986;298.805.792.971.544
1987;271.349.773.463.863
1988;310.722.213.686.031
1989;345.957.485.871.286
1990;358.973.230.048.399
1991;381.454.703.832.753
1992;424.934.065.934.066
1993;442.874.596.387.119
1994;562.261.129.868.774
1995;732.032.045.217.766
1996;860.844.098.049.121
1997;958159424835.34
1998;1025276902078.73
1999;1089447108705.89
2000;1205260678391.96
2001;1332234719889.82
2002;1461906487857.92
2003;1649928718134.59
2004;1941745602165.09
2005;2268598904116.28
2006;2729784031906.09
2007;3523094314820.9
2008;4558431073438.2
2009;5059419738267.41
2010;6039658508485.59
2011;7492432097810.11
2012;8461623162714.07
2013;9490602600148.49
2014;10354831729340.4
